Community,Average_Risk,Members,Num_Members
11,0.25,"ERIC HARRIS, SCOTT BROWN, TODD DOYLE, GUO XIAO HONG, MATTHEW JOSEPH, KIMBERLY ARNOLD, ERMIL VILENOVICH VLASOV, STEVEN CRUZ",8
51,0.0784313725490196,"ERIK CROSBY, OLIVIA FLOWERS, SUSAN FREEMAN, GREGORY TATE, MARILYN GUZMAN, JANICE RODRIGUEZ, LESLIE HARRIS, DR.MATTHEW DAVIS, DR.PURAB SWAMY, ANN SPENCER, TIMOTHY WALKER, MICHAEL HUTCHINSON, SARAH TURNER, TIMOTHÉE BOUDREAU, DR.DAVID TAYLOR, NIE HAI YAN, CATHERINE LAVIGNE, ALEXANDRA BROWN, JEREMY DAVIS, GARY VINCENT, DIANA FLOWERS, JAMES HAWKINS, JESSICA BAILEY, ROBERT SMITH, DHANUSH DAR, DR.PAULINA DEL RÍO GRIJALVA, COREY JACKSON, MR. CHRISTOPHER REYES JR., BRANDI TERRY, DIANA PARKER, TRACEY ROGERS, JACOB STONE, MARIE CHOUINARD, REBECCA ELLISON, HÉLÈNE-SIMONE LEBEL, IND.MICHAEL RICHARDSON, NICHOLAS VAZQUEZ, MICHAEL LEE, DR.CHRISTINE GAMBLE, JEFFREY HOPKINS, MAKAYLA HART, SAMANTHA OWEN, CHRISTOPHER FERGUSON, MEGAN KING, HAZEL DATTA, ANDREW SMITH, LAKSHIT BATH, MIKAYLA TORRES, MICHAEL LEWIS, PATRICIA HUFFMAN, YU HONG MEI, KYLE DRAKE, CHARLES MARTIN, YANG FENG LAN, GERALD CASTANEDA, ALEXANDER GREEN, NICOLE ST-ONGE-SÉGUIN, REBECA CELIA ARROYO CABÁN, MR. CHRISTOPHER BENNETT, DR. ELIZABETH JONES, DAWN JORDAN, AARAV MALL, JOANN ASHLEY, DR.SAMANTHA JOHNSTON, JOE JOHNSON, JAMES EDWARDS, SANDRA BIRD, HUANG DONG MEI, TRISTAN CHARETTE-MARTIN, THOMAS HICKS, DR.MATTHEW CLARK, DR.LAURENCE BEAULIEU, TONY JORDAN, RENÉE DESROSIERS, MATHIEU BOULANGER, DR.VEER RAMACHANDRAN, ANNA TAYLOR, DR.ASHLEY WHEELER, RHONDA BROWN, TIFFANY DAVIS, GINA RUSH, ALEXIS TERRY, TIFFANY GARCIA, TIMOTHY BAKER-MILLS, ALEXANDRA DALLAIRE-SIMARD, FAN JIAN HUA, ROBIN POWELL, BRITTANY LIU, ROBERT MATA, MICHELE HUGHES, BOBBY JOHNSON, MARK HALE, TIMOTHY MORRIS, BRIAN LEE, JOSHUA CARLSON, DR.MEGAN KING, MARK GONZALEZ, ALEXANDRA KENNEDY, JOSHUA AUSTIN, DR.FRÉDÉRIC MARCOTTE, TARINI AGGARWAL, DR.PETER WOLF, ELAINE GRANT, ERIC PHAM, AMANDA BAIRD, DONALD MURPHY, CYNTHIA GREEN, JIMMY DOMINGUEZ, ANGELICA WILKINSON, GUILLERMINA TOMÁS NIÑO, DR.EDWARD FUENTES, MARK WILKINSON, MICHAEL FLETCHER, CASEY SMITH, VAIBHAV MADAN, IND.ALEXIS DONALDSON, ADVIK CHERIAN, KRISTEN DAVIS, CHERYL GONZALES, DAVID COOLEY, MOVECARGO, DEVIN AUSTIN, CHRISTINE HERNANDEZ, DALE WALKER, SAMUEL PROVOST, MEGAN DAY, PAUL TRÉPANIER, DR.GABRIELLE-SARAH LACHAPELLE, GENG YING, COLETTE TURCOTTE-FILLION, DR.BRYAN BROWN, PAMELA FOSTER, BHAVIN SAVANT, JIANG XU, CHARLES GRIFFIN, HRIDAAN KEER, STEPHEN LEWIS, PATRICIA DIAZ, EVAN JENKINS, IND.ZHANG YING, NATHALIE FERLAND, KELSEY WATSON, ZAINA BATTA, LANGALIBALELE SHOZI, GARRETT VEGA, WANG XIU MEI, MISS BRITTNEY FARMER DVM, SUZANNE SAMPSON, ÉLISABETH LACROIX, ALISON JACKSON, DAVID MORGAN, DR.GORDEEV EVSEJ ZINOV'EVICH, JAKE MITCHELL",153
64,0.07407407407407407,"ANTONINA AFANAS'EVNA NEKRASOVA, MAUDE NADEAU, MRS. VICTORIA STEWART MD, KELLY ROBERTS, JAMES NASH, REBECCA FREEMAN, TYLER BAILEY, GORDON MILLER, SIERRA MCDOWELL, JOHN LINDSEY, LISA GRAHAM, UVAROV VIKTOR VIKENT'EVICH, SEAN PAUL, SANA JAGGI, ALLEN GRIFFIN, KENNETH BROCK, LUKINA ELEONORA MAKSIMOVNA, ROBERT BRYAN, ÉLISABETH-LAURIE RAYMOND, KELLY MARTIN, JOHNNY SANCHEZ, LUCAS THERRIEN, CHRISTINE WELLS, CHARLOTTE LECLERC, GARRETT GEORGE, DR.VINCENT SWEENEY, CHERYL LUNA, KYLE WRIGHT, JEFFREY LANG, SAMIHA MANE, ARCELIA VIGIL, GENEVIÈVE PELLETIER, AUSTIN OWENS, HARLAMPIJ ERMILOVICH DROZDOV, PARI DALAL, WHITNEY WALTON, ROBERT GREEN, WANG LONG, WANG WEN, PAULETTE BEAUCHAMP, KIMBERLY BROCK, DR.WEI YANG, DAVID TREMBLAY, ALEXANDRA MARCOTTE, SUSAN HARTMAN, PAULINE LALONDE, PATRICIA WILLIAMS, MARCEL CÔTÉ, AARNA KRISHNA, ÉTIENNE VÉZINA, CHRISTOPHER LOGAN, CHAD HARVEY, DONALD DUNN, DIANA ALLEN",54
47,0.06796116504854369,"TIFFANY BOWEN, LUC LAPIERRE, JAMES BRYANT, MICHAEL SMITH, ELIZABETH TAYLOR, MICHAEL CAMERON, ALEXANDRA BOUCHER, ELAINE BREWER, LYNN MITCHELL DVM, HEATHER POWERS, LUYANDA MATHENJWA-MADONDO, DR.ANTHONY SNYDER, JAYANT DANI, HEIDI ESCOBAR, IND.CHELSEA ESCOBAR, GINA NGUYEN, GEORGES LANDRY, RICHARD YODER, KAREN MITCHELL, KELSEY WOLFE, VINCENT PEREZ, GABRIEL LEMIEUX, ANGELA QUINN, JAMES ALVAREZ, CYNTHIA HOWE, BILLY PHILLIPS, ERICA MILLER, AMY RAMOS, BOJAN JAKOVLEVICH SUVOROV, XU YAN, LIU HUI, REGINALD RIVERA, RAPHAËL LAPOINTE, GU LI, JAMES HILL, CAROLYN JACKSON, CLAUDIA LEE, NATHALIE-MICHELLE VILLENEUVE, PURAB KAUL, RÉMY BÉGIN, ROBERT FREDERICK, MARY KING, JEFFREY MURPHY, MRS. JESSICA SIMMONS, ADAM DOYLE, PROHOROVA VIKTORIJA STEPANOVNA, DR.CRYSTAL CHAPMAN, CLARA LOZADA GÓMEZ, MONICA NELSON, TIMOTHY OSBORNE, AGNÈS-JOSÉPHINE CROTEAU, ASHLEY SCOTT, REBECCA HANEY, JASON FIELDS, BHAMINI KURUVILLA, HARRIET HARRISON, VARDANIYA SONI, SAMANTHA SCOTT, LAURENCE MOREAU-BOUCHARD, DHANUK SHROFF, ANA GONZALEZ, ROLANDO HORACIO JUÁREZ MALAVE, KATHLEEN RUSSELL, BRANDON HOWARD, STEPHEN BROWN, DR.KRISH SANGHVI, DARIUS HILL, DR.DAVID LEE, JAMES BRIGHT, CHRISTINE DROUIN, CHRISTINA JONES, BENJAMIN MACDONALD, DR.ERIC MYERS, THOMAS SMITH, IND.LAURA HOLLAND, DAVID SNYDER, ANAÏS LAMONTAGNE, MICHAEL FISHER, ALEXANDRA THOMAS, SARA JOHNSTON, DIANA LANE, MARY NGUYEN, CHARLES KING, DR. BARBARA GRIFFIN, ZHOU SHU ZHEN, LUKE SCHNEIDER, AMANDA MCKENZIE, ELA APTE, CARL KING, LUIS BARNES, ANTHONY MARTINEZ, NICOLE DAVIS, BRIAN HENDERSON, DANIEL POWERS, EDWARD RODRIGUEZ, MICHAEL ALLEN, PATRICK HOWARD, DR.JONATHAN GILBERT, ZHOU TING, ÉLISABETH LEMIRE, MISS LISA HARRIS PHD, ANTHONY PARKS, RENEE RAVI",103
48,0.05384615384615385,"WILLIAM CROSBY, DR. GERÓNIMO JURADO, ALLISON BAKER, KATELYN GIBSON, CHELSEA BRAY, RACHEL GRIFFIN, RACHEL THOMAS, WILLIAM BAKER, MICHELLE BRISSON-LAPIERRE, WILLIAM TAYLOR, TERRENCE PARKER, LISA MOORE, ROBERT SCOTT, DANIEL PARK, ÉDOUARD DUBÉ, SAMANTHA BROOKS, SARA JOHNSON, JESUS JACKSON, OLIVIER DOUCET, JOSEPH HERNANDEZ, HANNAH LEE, JAMES PARRISH, SAMUEL POWELL, AMBER BOWMAN, ROBERT THOMAS, JOSE MIDDLETON, AMANDA BELL, KIMBERLY SANDOVAL, TAYLOR MAYS, EMILY WARNER, DR.KELLY COMBS, AMY SMITH, KNJAZEV ADRIAN EVSEEVICH, DR.EMMANUELLE CHABOT, MRS. KELLY HOWELL DDS, ANTHONY GIBSON, JOSEPH BAUER, TIMOTHY FOLEY, BRIAN RANDOLPH, DR.HENRIETTE DROUIN, JOSHUA GRAHAM, CHRISTINE HARRISON, DOUGLAS DOUGLAS, VICTOR MARTINEZ, JOHN STEWART, MELISSA REESE, DR.JOHN WADE, CONSTANCE FORGET, MARIE BEAUREGARD, EVAN JOHNSON, BRIAN CASE, GABRIELLE BLAKE, DR.EMMANUEL LABELLE, CÉLINA NOËL, SCOTT JONES, BRIAN CALDWELL, KAYLA WILSON, STEPHANIE ROBINSON, IRA SANDAL, ANA MEYER, DOUGLAS LLOYD, LI XUE, MARY ADAMS, KRISTI CARDENAS, MA LONG, SHANNON MONTES, MRS. JENNIFER GONZALEZ, JENNIFER CLARK, AUDREY BRASSARD, SOPHIE PICARD-RIVARD, JILL MCKAY, HEATHER JOHNS, MR. DEREK ELLIOTT, COURTNEY MOORE, MICHAEL RICHARDS, MARC ADAMS, JASON LEWIS, LIU LIU, KIAAN RAMAKRISHNAN, JACOB ANDERSON, DOROTHY MCLEAN, REBECCA SMITH, WILLIAM RODRIGUEZ, LAWRENCE HALL, CYNTHIA PERKINS, DR.SHARON HUFF, DENIS MARCOTTE, VIRGINIE TRUDEL-ROUSSEAU, DAVID STEPHENS, IND.MICHAEL COOK, MÉLANIE DUBÉ, DR.PAUL NORTON, DR.KATHRYN MILLER, STEPHANIE KIM, JOSE MILLER, SCOTT BUCHANAN, ANNA WALLACE, TRACY WALLACE, STEPHEN ANDERSON, TONI SCHMITT DDS, ERICA LOPEZ MD, JOSHUA HOLLOWAY, PIERRE MARCOTTE, EMILY DALTON, MICHELE MERCADO, AMY CORDOVA, MELISSA BUCHANAN, MARTHA KING, LAURA NEAL, REBECCA MOORE, CHRISTINA MAYS, ROBERT TORRES, NATALIE HALL, PENG XIU RONG, DERRICK REYES, STEPHANIE HENSLEY, DR.DARSHIT SAWHNEY, NATHAN SHERMAN, CAITLIN JONES, IAN PEREZ, JOSHUA NELSON, MARIA FARRELL, THERESA CAMPBELL, KEVIN NUNEZ, ALEX VAILLANCOURT-LEMIRE, ZACHARIE GRENIER, JOHN MILLER, TIMOTHY SIMMONS, ROBERT SIMPSON, DR.JENNIFER MILLER",130
88,0.04455445544554455,"DR.MIKE HARRIS, MATTHEW ANDREWS, MAUREEN LOPEZ, EDWARD CONTRERAS, DR.BRIGITTE-SYLVIE LÉVESQUE, MINDY COWAN, BRANDON MARSHALL, THOMAS BOWEN, KEVIN MEYER, IND.AMY YOUNG, JUSTIN ALLEN, TAMARA TRAN, MAUREEN CASEY, MARTIN ROBINSON, DR.STÉPHANIE HAMEL, ALLISON KRAUSE, LIU JIA, MARIA WILLIAMS PHD, SIMONE CHARBONNEAU, ANNE DANIEL, DR.CAROLINE RICHARDSON, ASHLEY DELEON, JOHN MILLER, DR.MARIANO CHAPA, ALEXA JOHNSON, JUSTIN RAMIREZ, ZHANG LONG, GÉRARD-BERNARD DIONNE, IND.MARY FREEMAN, NICHOLAS CAIN, ROBERT DAVIDSON, DR.STÉPHANE MÉNARD-DUFOUR, SARA LYNCH, DR.ARTHUR SAVARD, LINDA AGUILAR, DR.KAYLA GORDON, EDDIE BELL, FLORENCE LAUZON-GILBERT, ALBERT HENRY, PATRICIA BAKER, KRISTINA HANSON, DR.ASHLEY GORDON, LYDIA ADAMS, DR.RYAN KELLY, CUI XU, MIGUEL DAVIS, ZHANG MEI, MARCO HERNANDEZ, JOSEPH WARREN, DANA WELLS, JESSICA BAKER, HOLLY GOODWIN, JAMES THOMAS, MICHELLE SMITH, MICHEL HARVEY, DR.BO XIANG, MICHAEL WOOD, ÉDITH BOUCHER, JENNIFER CAMPBELL, LACEY DEAN, DR.ERICA HORTON, SHAWN MONTGOMERY, JONATHAN PATEL, DULCE ESTELA VIERA, DR.WANDA JOHNSON, MICHELLE ORTIZ, MARY RAMIREZ, JIANG PING, LAUREN LE, DR.THEODORE MORGAN, JESUS WARD, DANIEL KENNEDY, JENNIFER VALDEZ, NOÉMIE-GENEVIÈVE LEMIRE, DANIEL HOWARD, JACOB IBARRA, JENNA WEST, DENNIS GUERRA, DIANA MORRIS, OMAR MARSH, DEBORAH KAUFMAN, DR.ELIZABETH KHAN, SIMONE PELLETIER, CHARLOTTE BISSON, MARISSA NGUYEN, BILLY RICE, DR.EVAN COMBS, RONALD HARVEY, LUCAS-NICOLAS GIGUÈRE, PAULETTE BERGERON, JOSHUA BUSH, BENJAMIN WRIGHT, WANG XIU ZHEN, MATTHEW TURNER, JOSHUA BELL, CHAD HERNANDEZ, RENEE SHENOY, ROBERT SMITH, MANUEL JUAN ESPINO, MAHIKA VOHRA, RANBIR RAMAN, JOSEPH WAGNER, PAUL ROBERT, CRAIG AGUIRRE, NOÉMIE PRÉVOST-PÉPIN, DR.ROBERT PARRISH, JOANN BERRY, MICHAEL CLARK, LIC. RAMÓN JARAMILLO, NICOLAS VILLENEUVE, RÉMY THÉRIAULT, WILLIAM EDWARDS, CHRIS GALLAGHER, ANITA MARTIN, SAMUEL DESJARDINS, DAWN ORTEGA, ROBIN WALKER, MEHUL MANE, SHANNON KELLER, KELSEY REED, THOMAS OBRIEN, ÉTIENNE RODRIGUE, DR.MICHEAL JONES, JIVIKA BALAKRISHNAN, WILLIAM CHAPMAN, RICHARD DEAN, SHAWN HICKS, AIMEE BAKER, QIN YANG, STEPHANIE SPARKS, STEPHANIE SHERMAN, BRIAN CASTRO, JONATHAN FRANKLIN, MICHAEL PAGE, CURTIS ROWE, SANDRA MCKINNEY, KAREN HOWE, ARTHUR LAVOIE, OLIVIER SAVOIE, JAMES DOUGLAS, JONATHAN GAUTHIER, DR.COURTNEY SINGH, CYNTHIA SMITH, MARCELLE GAUDREAULT, ROBERT SANCHEZ PHD, AGNÈS PATEL, JENNIFER SMITH, MISS LORI GREER, MELISSA HALL, ALEXANDER WATKINS, WESLEY HAYNES, EDWIN DAVIS DDS, GUY-ÉTIENNE PERREAULT, ZAIN KANT, ZHANG CHEN, DR.IVAN MITCHELL, ANTHONY MOLINA, KAITLIN FISHER, KRYLOVA FEVRONIJA SERGEEVNA, MELANIE LOPEZ, CASSIE WASHINGTON, DR. JOSÉ CARLOS ALEMÁN, ASHLEE TERRELL, MICHAEL ALLEN, KRISTEN SHARP, KYLIE NELSON, THOMAS STEWART, DR.JAMES FIGUEROA, BEVERLY FLOWERS, CHRISTINE BRANCH, ZHAO CHANG, DR.CASEY THOMAS, JENNIFER HARRIS, HILARY MURRAY, ÉDOUARD VÉZINA, MRS. GABRIELA BROWN, MICHAEL SALINAS, DOROTHÉE CHARRON, PAOLA JULIO ALCARAZ MENA, DEMENTIJ EVSEEVICH MEL'NIKOV, JENNIFER HORTON, MORGAN LYONS, DR.LAURA HUFFMAN, PAWCLINIC, CRYSTAL GALLEGOS, ZHOU WEN, MEGAN MORGAN, NOËL JACQUES, TANG JIAN GUO, JOHN RAMOS, MR. THOMAS WILSON, CAO GUI XIANG, G-ZHA DORONINA POLINA VJACHESLAVOVNA, RICHARD CASTILLO, OLIVIA PEREZ, DAVID HAMMOND, SHANE BAKER, YANG XIU LAN, SHARI THOMAS, JEFFREY ROGERS, APRIL WILLIAMS, IND.HARRY CALDWELL",202
18,0.041666666666666664,"JULIE BURKE, VICTOR WRIGHT, PHYLLIS WEST, BRIAN LEONARD, DR.OLIVIA FERLAND, MICHELLE BURNS, KATHLEEN WILSON, TRAVIS RODRIGUEZ, NAYANTARA KEER, MARC FONTAINE-GERVAIS, CHRISTINA HESTER, LAURIE DURAND, SAVANNAH THOMPSON, SONYA CHOI, TRACY WARD-FORD, LAURENCE LABBÉ, JESSICA MORGAN, TAMMY GRIFFIN, LORI NGUYEN, ABIGAIL GRAVES, LAURENCE FORGET, MANNAT RANA, ROBERT SHAW, JENNIFER MORGAN",24
45,0.03827751196172249,"CHARLOTTE LABONTÉ, MA JUN, DORONIN DOBROSLAV JAROSLAVOVICH, CHEN GUI FANG, DIANA PERRY, JASON MCINTOSH, KIMBERLY BEST, RICHARD SPEARS, MILAN DIMITRIEVICH MIHEEV, MARCELLE JEAN, ROBERT FISCHER, JACQUELINE MARTIN, DIANA LAWRENCE, JOSHUA GRAHAM, VALERIE GREEN, ANTOINE ST-LAURENT, RÉMY BOILY-DUBÉ, CAMILLE TESSIER, MITCHELL STANLEY, SAMIHA KARI, ANGELA OLSON, JENNIFER WILLIAMS, NANCY WILSON, ALEXANDRA VÉZINA, OL'GA FELIKSOVNA JUDINA, KELLIE JENKINS, MEAGAN HAMILTON, ANNETTE RAMOS, CRAIG MOORE, PATRICIA ALLEN, HEATHER DELEON, IND.ADIRA SULE, COLIN HARRIS, CODY RAMSEY, ROGER PETERSON, JASON OLIVER, BAI JIN FENG, RAPHAËL LANGLOIS, WANG YUN, JIANG CHAO, DR.ALEXIS VASQUEZ, LORRAINE SCHULTZ, TUROVA LJUDMILA PAVLOVNA, FRANK BULLOCK, AZAD BAHL, LOU YU MEI, SEAN RICHMOND, DR.JOSÉ MANUÉL LONGORIA CONTRERAS, DR.MICHAEL SHIELDS, KATIE PENA, EDWARD FLORES, MOLLY HAYS, DR.ELLEN SMITH, TIMOTHY CARTER, YUVAAN HALDER, YANG NAN, JEFFERY MURPHY, EDWARD HOOVER, MRS. MELANIE BRYANT, ZOÉ FORGET, CHRISTIAN CLAY, JORGE BUCHANAN, JAMES REED, LUCAS BÉGIN, KEVIN LOPEZ, UTHKARSH MANI, JOSEPH ESTRADA, DAVID BOWERS, MARY OLIVER, BRIANA ROBINSON, ELIZABETH KELLY, CAI QIANG, DR.BRIDGET SANTANA, FREDERICK CABRERA, FEVRONIJA ZAHAROVNA LARIONOVA, RODOLFO LEONOR ADAME CHACÓN, MATTHEW CHAVEZ JR., MARTIN DUVAL, DR.JULIE KIM, STACEY SMITH, UTHKARSH RATTAN, VERONIKA BORISOVNA FEDOTOVA, SUSAN GARCIA, DR.FERNANDO FLORENCIA BADILLO, ROGER BROWN, LINDSEY FIGUEROA, DR.MARYSE-JULIE RIVARD, TERRY FRAZIER, IND.PAUL SCHULTZ, DR.RACHEL HOUSTON, DR.RONALD LOPEZ, TASHA SMITH, THERESA SCHMIDT, OCÉANE LAMBERT, DR.JOE GOMEZ, SANDRA COOK, CHASE RICHARDSON, AARNA BEN, PHILIPPE-GUY RAYMOND, GABRIELLE ROSALES DDS, MATTHEW COOPER, DR.JOSETTE LACHANCE, LEONEL ELIAS LEDESMA, DR.LISA MILLER, HENRIETTE-ÉLISABETH DUFOUR, ZHUANG YU, DANIEL POTTER, ZHOU LI, DR.MICHAEL PATEL, DIVIT BEDI, ERIC CASTILLO, JUDITH SMITH, VAIBHAV BHAGAT, NITYA BOBAL, TIMOTHÉE TREMBLAY, ANGEL PEREZ, MARCELLE RIVARD-DEMERS, KIMBERLY SHEPHERD, ELIZABETH BAUER, DR.RÉMY GUAY, JOSE ANDERSON, ALEX GONZALEZ, DHANUSH GADE, BARBARA LARSON, JOSHUA WATSON, CARLOS THOMAS, MARTIN LOPEZ, PAUL ALLEN, LOUIS AUDET, ROBERT SÉGUIN, CHARLES SHIELDS, WAN CHENG, VICTOR ARCHAMBAULT, RYAN AUSTIN, ALYSSA LEWIS, AMY HAMPTON, BLANCA ESCALANTE, MICHAEL YODER, SHELIA PAGE, LORI STONE, LOUIS ANDERSON, MICHAEL SMITH, MATHIEU BÉLAND, IND.VRITIKA SACHDEVA, JÉRÔME FORGET, EVAN BROCK, LORI FAULKNER, DR.GERALD LEONARD, TERRI SIMMONS, ANDRE MIDDLETON, JOSEPH MORRISON, KIMBERLY BEST, YUVRAJ  KURUVILLA, WILLIE LAMBERT, REBECCA HUNTER, AMY LINDSEY, AMBER PARKS, BECKY WEST, RODNEY FLOWERS, PHILIPPE LABONTÉ, SHANAYA SACHDEV, COURTNEY GREENE, JONATHAN STOKES, DANIEL JACKSON, DR.CHRISTINE MURPHY, LAURENT GAGNÉ, SHANE SALINAS, RENEE FISHER, ROBERT HOWARD, DOMINIQUE HOWARD, JAMES WALTERS, LOUIS CORTEZ, MALLORY WHITE, DR.CHRISTOPHER EVANS, JORDAN FLOWERS, OJAS DEOL, VINCENT CLAY, ÉMILIE LABELLE, KAREN PEREZ, JESSICA BURKE, MR. RYAN DAVIDSON, ALIA BHARGAVA, DOROTHY VARGAS, DR.ERMIL GLEBOVICH SITNIKOV, MICHELLE WATSON, MATTHEW RIVERA, DR.MARTINE CHAREST, BROOKE OBRIEN, KRISTA MILLER, KANAV DOCTOR, STEPHEN NELSON, DR. LAWRENCE MARTINEZ, DR.MARK BELL, FRANK DAVIS, NAVYA BADAMI, MARCELLE LAMONTAGNE, CAITLYN HOLMES, MATTHEW HERRING, CATHERINE REYNOLDS, DEBRA GEORGE, THOMAS LIN, KYLE BAKER, CARLA BYRD, LESLIE DAVIS, ALAIN BÉLANGER, JIVIN BALA, BENJAMIN SULLIVAN, IND.TIFFANY JORDAN, SHA XU",209
42,0.019867549668874173,"MO NA, DR.TODD DAVIS, ZHU XIU FANG, AMANDA COLE, TROY CANTU, RENÉ BRETON-BOUDREAU, DRISHYA CHOKSHI, JONATHAN DAVIS, ANNE FULLER, TIMOTHY HAYDEN, THERESA WILKINSON, TIMOTHY CONTRERAS, CHARLES PROVOST, THOMAS BUCHANAN, TIMOFEEV NESTOR JUL'EVICH, HEIDI PATRICK, MATTHEW SANTIAGO, PAMELA ORTIZ, EXPRESSDRIVE, JEFFREY KING, CHARLOTTE TURNER, JUDY WILLIAMS, DANA JONES, GABRIELLE GENDRON, LIANG YU ZHEN, EDWARD GARCIA, HENRI MARTEL, DR.LIU JIA, JESSICA MURRAY, TAMMIE EWING, DR.THERESA BUTLER, DOROTHÉE POULIOT, HUGUES RODRIGUE, BRYAN GALVAN, MARY WILLIAMS, DR.ELIZABETH ROY, KEVIN CUNNINGHAM MD, CLÉMENCE ASSELIN, MÉLANIE-GABRIELLE LAMOUREUX, MARY WILLIAMS, DR.JEFFREY BENNETT, DR.JOSHUA WHITAKER, DR.RAPHAËL SIROIS, ZHAO HONG MEI, TROY HERNANDEZ, KAYLA BELL, HOWARD BRYAN, ANITA STONE, ANTHONY LARSEN, HAO SHU HUA, CONNOR SANCHEZ, ALEX MARSHALL, DR.PIERRE PATEL, CLÉMENCE LABELLE, DOROFEEVA ANZHELA VIKTOROVNA, CÉLINA LABONTÉ, RANDY MCKEE, DR.KAITLIN CASTILLO, GAO XIA, TRAVIS BYRD, BERNARD GERVAIS, AMANDA WALLACE, LYNNE JARVIS-STEPHENSON, ERIC GREENE, SOPHIE-JOSÉPHINE BEAUDRY, DIANE ROJAS, DR.TIMOTHÉE MORISSETTE, MANJARI TAILOR, JUSTIN HERNANDEZ, ROBERT MOSS, LAUREN HENRY, THOMAS BROWN, DR.LAURENCE TESSIER, MARC PARENT, SANDRA FOSTER, SHELLY MORTON, KEITH RAMIREZ, ANA JOHNSON, NATHAN TROTTIER, CHRISTOPHER MCGEE, ANTHONY TURNER, KEVIN BOLDUC, ALEXIS LÉVESQUE, DAVID REED, JUSTIN PORTER, CAROLINE MAXWELL, KEVIN WALLS, PAMELA JONES, MATTHEW WELLS, DAISY SMITH, ROBERT BRYANT, JONATHAN BROWN, DR.LIU SHUAI, VEDIKA DUGAR, WANG NAN, BRIAN DECKER, JACOB BEST, THOMAS VEILLEUX, STEPHANIE CHAMBERS MD, LAGAN DESAI, WILLIAM LAMBERT, DAWN COLE, VICKIE ADAMS, HERR ARTHUR POHL, MICHELLE HENRY MD, YVES-ZACHARIE PARÉ, DANIEL STEELE, JEFFERY ADAMS, RYAN DUTT, LUIS WILLIAMS, DR.CHRISTINA BISHOP, DR.SARAH GUTIERREZ, VINCENT LUNA, ISAAC PERKINS, TRACEY ONEILL, THOMAS RAMIREZ V, NATHAN HEBERT, HU LEI, MRS. AMANDA HOWELL, CESAR ROBERSON, LISA DAVIS, SHRAY VOHRA, TIMOTHY LE, MARY DUNN, CRYSTAL ACOSTA, STEPHANIE BRADFORD, GABRIEL PROVENCHER, EDUARDO CALHOUN, NICOLE BRUNET, CHARLES PACHECO, KELLY BOWERS, ARTHUR BAUER, DR.TAN QIAN, CRYSTAL NEWMAN, WILLIE FISCHER, CHRISTOPHER LEBLANC, MATTHEW MILLER, ERIC FRANKLIN, ZHOU TING, SANTIAGO BARBARA SAIZ ARREDONDO, CHRISTINE CLARK, PETER MCKINNEY, SARA JACKSON, DERRICK SHAFFER, ROBIN WHITE, CAITLIN BARRETT, IND.NATHALIE-ÉLÉONORE VALLÉE, JAMES RILEY, DR.AMY CLAY, MARGOT HÉBERT-GIRARD, YAKSHIT GOPAL",151
72,0.017857142857142856,"CAROL CROSBY, FENG LI JUAN, RUSSELL BLACKWELL, STEPHANIE WILLIS, MEGAN DEAN, HENRI BILODEAU, VERÓNICA ANTONIA ROQUE, DR.XU CHENG, JENNIFER HILL, HEATHER NGUYEN, NEHMAT MAJUMDAR, MICHAEL COOLEY, DOUGLAS BARRY, EMILY MILLER, GABRIEL LINDA ECHEVERRÍA ZAMBRANO, IND.DEREK ROSS, MARGARET VILLANUEVA, TONI FLOWERS, IND.SCOTT FARLEY, DR.HUANG LI JUAN, STEVEN MILLER, LI BIN, STEPHANIE JOHNSON, SHERI WATSON, CHRISTOPHER JONES, SHANNON BRADLEY, TAMARA ZAMORA, SHAROV APOLLON FEDOS'EVICH, RAYMOND LOVE, MISHA SHANKAR, JENNIFER HERNANDEZ, JAMES JOHNSON, XAVIER CLOUTIER, MARIA BURKE, ANDREA STEVENS, GREGORY VALENZUELA, RYAN BECKER, IND.MX. JACK MORRISON, ADIRA DEWAN, KAIRA VASA, PAMELA FIDEL PONCE ALONSO, HENRY JENNINGS, KIM JENKINS, KRISTY WYATT, URVI KUNDA, KRISTINA MILLER, JENNY CAMPOS, HEATHER CARTER, WILLIAM CROTEAU, JENNIFER WILLIAMS, DOROTHY KING, ANNE SANCHEZ, BRITTNEY JOYCE, CHARLES PATTERSON, DR.EDWARD MILLER, YI LIU",56
