Community,Average_Risk,Members,Num_Members
309,1.0,SAMANTHA OWEN,1
24,1.0,ERMIL VILENOVICH VLASOV,1
26,1.0,MICHAEL PAGE,1
35,1.0,"CASSIE WASHINGTON, ANNE DANIEL",2
204,1.0,LANGALIBALELE SHOZI,1
181,0.75,"DR.JOHN WADE, ZACHARIE GRENIER, MARTHA KING, BRIAN CASE, RACHEL THOMAS, REBECCA MOORE, MICHAEL RICHARDS, JESUS JACKSON, EMILY DALTON, OLIVIER DOUCET, JASON LEWIS, JOSEPH HERNANDEZ",12
351,0.6666666666666666,"ELAINE GRANT, DR.EDWARD FUENTES, COREY JACKSON",3
23,0.6666666666666666,"TODD DOYLE, GUO XIAO HONG, STEVEN CRUZ",3
383,0.6666666666666666,"WHITNEY WALTON, WANG LONG, KIMBERLY BROCK",3
59,0.6666666666666666,"WANG XIU MEI, JOANN ASHLEY, JIMMY DOMINGUEZ, SUSAN FREEMAN, DR.MEGAN KING, PATRICIA HUFFMAN, THOMAS HICKS, DAVID COOLEY, CHARLES MARTIN, PAUL TRÉPANIER, JEREMY DAVIS, JAKE MITCHELL, ROBERT CARROLL, TIFFANY GARCIA, HAZEL DATTA",15
233,0.625,"JOHN RAMOS, CRAIG AGUIRRE, JONATHAN FRANKLIN, EDDIE BELL, FLORENCE LAUZON-GILBERT, SHANE BAKER, MICHELLE SMITH, DR.JAMES FIGUEROA",8
25,0.6,"ROBERT SANCHEZ PHD, LUCAS-NICOLAS GIGUÈRE, DR.KAYLA GORDON, LIC. RAMÓN JARAMILLO, MATTHEW ANDREWS, ZHANG LONG, MELANIE LOPEZ, OMAR MARSH, MARCO HERNANDEZ, KEVIN MEYER",10
575,0.5,"JASON MCINTOSH, JONATHAN TAYLOR, SARA DAVE, ÉLODIE NGUYEN",4
447,0.5,"MEAGAN HAMILTON, MRS. MELANIE BRYANT, DR.GERALD LEONARD, JÉRÔME FORGET",4
473,0.5,"MATHIEU BOULANGER, HRIDAAN KEER",2
49,0.5,"BRIAN HENDERSON, ARHAAN SHAH, IND.SERGIO PINEDA, EDWARD RODRIGUEZ, MICHAEL SMITH, JAMES HILL, THOMAS SMITH, SAMANTHA SCOTT, NATHALIE-MICHELLE VILLENEUVE, CLARA LOZADA GÓMEZ, ANAÏS LAMONTAGNE, MONICA NELSON, ANTHONY PARKS, PROHOROVA VIKTORIJA STEPANOVNA, ALEXANDRA THOMAS, ROLANDO HORACIO JUÁREZ MALAVE",16
427,0.46153846153846156,"MELISSA BUCHANAN, WILLIAM BAKER, VIRGINIE TRUDEL-ROUSSEAU, CÉLINA NOËL, REBECCA SMITH, MARIE BEAUREGARD, KAYLA WILSON, ANA MEYER, MÉLANIE DUBÉ, VICTOR MARTINEZ, DOUGLAS LLOYD, JENNIFER CLARK, STEPHANIE HENSLEY",13
154,0.42857142857142855,"DONALD DUNN, ALEXANDRA MARCOTTE, JAMES NASH, KELLY MARTIN, JEFFREY LANG, MARCEL CÔTÉ, HARLAMPIJ ERMILOVICH DROZDOV, YOLANDA HO, JOHN LINDSEY, CHRISTOPHER LOGAN, CHAD HARVEY, GENEVIÈVE PELLETIER, AUSTIN OWENS, DIANA ALLEN",14
20,0.4090909090909091,"MEDVEDEV NIKITA DOROFEEVICH, SHAWNA HANSON, JANICE MOORE, HUNAR KEER, DAVID WILKERSON, FAN DAN DAN, PEDRO BARBER, STÉPHANE HOULE, PENG YING, ZHU NA, SYDNEY DOUGLAS, BRIAN SHAW, TRICIA ORTIZ, NICHOLAS JONES, LINDSAY JOHNSON MD, DANIEL WILLIAMS, DEBRA BOWERS, LINDSEY LOWE, MARCEL BERTRAND, MATTHEW PRESTON, KENNETH LEE, DR.MARTINE-ANNE ROUSSEAU",22
384,0.4,"CHARLOTTE LABONTÉ, DIANA PERRY, DR.LISA MILLER, DANIEL POTTER, ERIC CASTILLO, DANIEL JACKSON, EDWARD HOOVER, CHRISTIAN CLAY, MARTIN LOPEZ, DOROTHY VARGAS, OL'GA FELIKSOVNA JUDINA, WAN CHENG, MATTHEW RIVERA, MICHELLE WATSON, BROOKE OBRIEN, PATRICIA ALLEN, MATTHEW HERRING, DR.JULIE KIM, UTHKARSH RATTAN, DR.FERNANDO FLORENCIA BADILLO",20
173,0.4,"DOMINIQUE HOWARD, TERRY FRAZIER, SANDRA COOK, DR.RONALD LOPEZ, KIMBERLY BEST, YUVRAJ  KURUVILLA, WILLIE LAMBERT, KIMBERLY BEST, MARCELLE JEAN, ROBERT HOWARD",10
182,0.4,"EMILY WARNER, DR.KELLY COMBS, COURTNEY MOORE, ROBERT SIMPSON, DR.PAUL NORTON, STEPHANIE ROBINSON, JOSEPH BAUER, CYNTHIA PERKINS, MARC ADAMS, DR.DARSHIT SAWHNEY",10
