Community,Average_Risk,Members,IDs,Num_Members
1149,1.0,"MELISSA PRICE, MARK HARRISON","EXTERNAL401777, CUST77329011",2
531,1.0,"BENJAMIN OLSON, CODY SCOTT","CUST48256664, CUST89183795",2
131,0.75,"CHRISTOPHER GROSS, WANG GUI ZHEN, RICHARD GILES, PATRICK MILLS","CUST14536496, CUST76097535, EXTERNAL400794, CUST86368599",4
348,0.6666666666666666,"DEBORAH JENSEN, PATRICIA WEST, RICHARD AUSTIN","CUST91716557, CUST23861323, CUST44710962",3
323,0.5909090909090909,"REBECCA SMITH, MÉLANIE DUBÉ, MICHAEL RICHARDS, CÉLINA NOËL, JENNIFER CLARK, WILLIAM RODRIGUEZ, MARIE BEAUREGARD, JOSEPH HERNANDEZ, MELISSA BUCHANAN, DR.JOHN WADE, STEPHANIE HENSLEY, WILLIAM BAKER, JESUS JACKSON, ANA MEYER, REBECCA MOORE, BRIAN CASE, DOUGLAS LLOYD, KAYLA WILSON, VICTOR MARTINEZ, VIRGINIE TRUDEL-ROUSSEAU, OLIVIER DOUCET, ZACHARIE GRENIER","CUST37532199, EXTERNAL363932, CUST48654180, EXTERNAL600611, CUST69571150, EXTERNAL152078, CUST80344556, EXTERNAL535585, CUST41966919, CUST33059790, EXTERNAL590333, CUST43882447, CUST22806740, CUST22385004, EXTERNAL838876, EXTERNAL624650, EXTERNAL269988, CUST67679078, CUST70275199, CUST66502857, EXTERNAL121789, EXTERNAL442222",22
208,0.5833333333333334,"DR.VIDUR KAR, GUO XIN, RICKY PERRY, WANG QIN, AHANA  CHANDER, DR.MARÍA LUISA RAMÍREZ MARÍN, HONG XIA, ZHOU HONG XIA, JOSE THOMAS, WILLIAM JONES, LORETTA NORMAN, MARK EVANS","CUST40109871, CUST24433165, EXTERNAL125225, EXTERNAL937953, CUST17399973, EXTERNAL493492, CUST40676834, CUST40676834, EXTERNAL800763, CUST29042956, CUST87388843, EXTERNAL332935",12
1189,0.5,"MICHEL LAROSE, MARGARET CARTER","CUST38730398, EXTERNAL573040",2
859,0.5,"TERRY THOMPSON, BRIAN DAVIS","CUST54389522, CUST71839380",2
804,0.5,"MENG XIU YUN, PATRICK SCOTT","CUST64876356, EXTERNAL461003",2
726,0.5,"SHELBY WILSON, CÉCILE CYR, DONALD LEE, DARÍO POLANCO","EXTERNAL286885, CUST55912680, CUST82014593, CUST64448493",4
667,0.5,"ZACHARY FOWLER, MELISSA DAY, DR.CYNTHIA MOORE, THOMAS EVANS","EXTERNAL909837, EXTERNAL339074, CUST28826154, CUST49543616",4
583,0.5,"ALICIA MORGAN, DAVID KING, WILLIAM JOHNSTON, IND.ANDRÉS MESA","CUST84714730, EXTERNAL851672, CUST40531218, CUST86536076",4
424,0.5,"DR.ING. PATRICIA AGUILERA, RANDY SCOTT, WU XIN, AKARSH SHETH","EXTERNAL482647, CUST28434211, CUST55380106, EXTERNAL507461",4
353,0.5,"CHRISTOPHER BROWN, BERNARD JEAN, SARA CASTRO, ASHLEY THOMPSON, PENG JING, EUGENE SALAZAR, DANIEL ANDERSON, ALEX ACEVEDO","CUST31299272, CUST99122642, EXTERNAL267361, CUST48674114, CUST38227557, EXTERNAL107261, CUST24247100, CUST48795506",8
1234,0.5,"WANG QIANG, CHERYL FIELDS","CUST56065075, EXTERNAL698127",2
78,0.5,"DR.JESSICA WILLIAMS, TONY GUAN","CUST12992046, CUST32365345",2
